s lambda f_ref adapted2 nu12 gap2 adapted3 nu13 gap3 adapted4 nu14 gap4
0.121666666667 0.980834256822 0.961243126010 0.463416650471 0.206851261064 0.256565389406 0.200550706631 0.043601785387 0.156948921244 0.044129705577 0.000000000000 0.044129705577
0.123333333333 0.980285329059 0.960705908706 0.460719770654 0.204232281119 0.256487489535 0.198069050364 0.042287891825 0.155781158540 0.042865079837 0.000000000000 0.042865079837
0.125000000000 0.979727732724 0.960160207759 0.458012607417 0.201646552162 0.256366055255 0.195587836214 0.041003517265 0.154584318948 0.041610773281 0.000000000000 0.041610773281
0.126666666667 0.979161410942 0.959605967508 0.455295339123 0.199093424466 0.256201914658 0.193107377530 0.039748031231 0.153359346298 0.040367154108 0.000000000000 0.040367154108
0.128333333333 0.978586305426 0.959043130911 0.452568141680 0.196572266604 0.255995875076 0.190627985809 0.038520823226 0.152107162582 0.039134590535 0.000000000000 0.039134590535
0.130000000000 0.978002356447 0.958471639509 0.449831188528 0.194082464727 0.255748723800 0.188149970745 0.037321301929 0.150828668816 0.037913450919 0.000000000000 0.037913450919
0.131666666667 0.977409502787 0.957891433394 0.447084650640 0.191623421872 0.255461228767 0.185673640284 0.036148894435 0.149524745849 0.036704103891 0.000000000000 0.036704103891
0.133333333333 0.976807681708 0.957302451165 0.444328696513 0.189194557306 0.255134139207 0.183199300679 0.035003045531 0.148196255148 0.035506918487 0.000000000000 0.035506918487
0.135000000000 0.976196828907 0.956704629890 0.441563492171 0.186795305904 0.254768186267 0.180727256556 0.033883217015 0.146844039541 0.034322264289 0.000000000000 0.034322264289
0.136666666667 0.975576878474 0.956097905066 0.438789201161 0.184425117558 0.254364083603 0.178257810970 0.032788887045 0.145468923925 0.033150511573 0.000000000000 0.033150511573
0.138333333333 0.974947762849 0.955482210575 0.436005984555 0.182083456610 0.253922527945 0.175791265478 0.031719549523 0.144071715954 0.031992031453 0.000000000000 0.031992031453
0.140000000000 0.974309412778 0.954857478638 0.433214000954 0.179769801320 0.253444199634 0.173327920202 0.030674713513 0.142653206689 0.030847196037 0.000000000000 0.030847196037
0.141666666667 0.973661757261 0.954223639772 0.430413406490 0.177483643350 0.252929763140 0.170868073906 0.029653902679 0.141214171227 0.029716378588 0.000000000000 0.029716378588
0.143333333333 0.973004723506 0.953580622738 0.427604354831 0.175224487280 0.252379867551 0.168412024062 0.028656654762 0.139755369299 0.028599953683 0.000000000000 0.028599953683
0.145000000000 0.972338236879 0.952928354492 0.424786997185 0.172991850138 0.251795147047 0.165960066932 0.027682521077 0.138277545855 0.027498297384 0.000000000000 0.027498297384
0.146666666667 0.971662220845 0.952266760134 0.421961482308 0.170785260961 0.251176221348 0.163512497641 0.026731066029 0.136781431612 0.026411787411 0.000000000000 0.026411787411
0.148333333333 0.970976596918 0.951595762851 0.419127956507 0.168604260364 0.250523696143 0.161069610259 0.025801866665 0.135267743594 0.025340803321 0.000000000000 0.025340803321
0.150000000000 0.970281284600 0.950915283862 0.416286563647 0.166448400141 0.249838163507 0.158631697883 0.024894512236 0.133737185647 0.024285726691 0.000000000000 0.024285726691
0.151666666667 0.969576201321 0.950225242359 0.413437445159 0.164317242870 0.249120202289 0.156199052719 0.024008603788 0.132190448932 0.023246941307 0.000000000000 0.023246941307
0.153333333333 0.968861262376 0.949525555446 0.410580740043 0.162210361546 0.248370378497 0.153771966168 0.023143753761 0.130628212407 0.022224833360 0.000000000000 0.022224833360
0.155000000000 0.968136380861 0.948816138070 0.407716584876 0.160127339223 0.247589245654 0.151350728912 0.022299585624 0.129051143288 0.021219791647 0.000000000000 0.021219791647
0.156666666667 0.967401467603 0.948096902960 0.404845113820 0.158067768673 0.246777345147 0.148935631005 0.021475733508 0.127459897497 0.020232207775 0.000000000000 0.020232207775
0.158333333333 0.966656431086 0.947367760556 0.401966458621 0.156031252061 0.245935206560 0.146526961965 0.020671841873 0.125855120092 0.019262476378 0.000000000000 0.019262476378
0.160000000000 0.965901177383 0.946628618932 0.399080748619 0.154017400626 0.245063347994 0.144125010862 0.019887565176 0.124237445686 0.018310995335 0.000000000000 0.018310995335
0.161666666667 0.965135610074 0.945879383725 0.396188110750 0.152025834384 0.244162276366 0.141730066418 0.019122567567 0.122607498851 0.017378165997 0.000000000000 0.017378165997
0.163333333333 0.964359630163 0.945119958053 0.393288669549 0.150056181840 0.243232487708 0.139342417097 0.018376522586 0.120965894511 0.016464393420 0.000000000000 0.016464393420
0.165000000000 0.963573135998 0.944350242430 0.390382547151 0.148108079705 0.242274467446 0.136962351213 0.017649112888 0.119313238325 0.015570086607 0.000000000000 0.015570086607
0.166666666667 0.962776023180 0.943570134686 0.387469863294 0.146181172629 0.241288690665 0.134590157018 0.016940029967 0.117650127050 0.014695658761 0.000000000000 0.014695658761
0.168333333333 0.961968184470 0.942779529868 0.384550735317 0.144275112949 0.240275622369 0.132226122814 0.016248973905 0.115977148909 0.013841527539 0.000000000000 0.013841527539
0.170000000000 0.961149509691 0.941978320151 0.381625278161 0.142389560433 0.239235717728 0.129870537053 0.015575653120 0.114294883934 0.013008115318 0.000000000000 0.013008115318
0.171666666667 0.960319885630 0.941166394736 0.378693604362 0.140524182049 0.238169422313 0.127523688445 0.014919784137 0.112603904308 0.012195849478 0.000000000000 0.012195849478
0.173333333333 0.959479195928 0.940343639748 0.375755824048 0.138678651729 0.237077172319 0.125185866063 0.014281091363 0.110904774700 0.011405162681 0.000000000000 0.011405162681
0.175000000000 0.958627320973 0.939509938126 0.372812044933 0.136852650146 0.235959394786 0.122857359458 0.013659306875 0.109198052583 0.010636493174 0.000000000000 0.010636493174
